20191226,南京房产网,南京小区,六合小区,大厂小区,扬子六村,(六合大厂)新华路辅路扬子六村,扬子六村,2位用户已关注,16999元/㎡11月参考均价,1973年建成,板楼/塔板结合,0.5元/平米/月,暂无信息,扬子石化房产公司,16栋,727户,暂无门店信息,118.7746386,32.24419017
20191226,南京房产网,南京小区,高淳小区,高淳小区,大丰路8号公寓,(高淳高淳)大丰路8-9号,大丰路8号公寓,0位用户已关注,8667元/㎡9月参考均价,暂无信息,未知类型,暂无信息,暂无信息,暂无信息,2栋,45户,暂无门店信息,118.882385,31.335732
20191226,南京房产网,南京小区,江宁小区,东山镇小区,天印慧谷,(江宁东山镇)天印大道1299号,天印慧谷,0位用户已关注,11890元/㎡11月参考均价,2015年建成,塔板结合,2.9元/平米/月,暂无信息,万科房产,1栋,16户,暂无门店信息,118.8718842,31.94848974
20191226,南京房产网,南京小区,雨花台小区,能仁里小区,钱家村,(雨花台能仁里)钱家村,钱家村,43位用户已关注,30010元/㎡11月参考均价,1991年建成,板楼/塔板结合,0.5元/平米/月,街道办事处（委员会）代管物业,南京市政建设开发有限公司,6栋,178户,亚东国际店/雨花西路128号9幢108室,118.775295,32.009371
20191226,南京房产网,南京小区,鼓楼小区,龙江小区,花开四季,(鼓楼龙江)凤凰东街178号,花开四季,266位用户已关注,48491元/㎡11月参考均价,2002年建成,板楼/塔板结合,1.2至1.69元/平米/月,业主自筹物业,南京开元经济开发有限公司,11栋,705户,龙凤花园新店/龙凤花园腾龙里30号,118.757026,32.054918
20191226,南京房产网,南京小区,玄武小区,锁金村小区,锁金一村,(玄武锁金村)锁金北路24号,锁金一村,41位用户已关注,29769元/㎡11月参考均价,1984年建成,板楼/塔板结合,0.4元/平米/月,业主自筹物业,玄武区城镇建设综合开发有限公司,8栋,347户,锁金南路店/龙蟋路177号,118.8213946,32.07760998
20191226,南京房产网,南京小区,秦淮小区,月牙湖小区,四方新村四村,(秦淮月牙湖)光华路四方新村四村,四方新村四村,99位用户已关注,27596元/㎡11月参考均价,2000年建成,塔板结合,0.3元/平米/月,南京振东物业管理有限公司,南京光华房地产开发公司,10栋,511户,四方新村店/四方新村三村7幢13号,118.8458194,32.0226413
20191226,南京房产网,南京小区,江宁小区,东山镇小区,莱茵达路8号,(江宁东山镇)莱茵达路8号,莱茵达路8号,0位用户已关注,暂无参考均价,暂无信息,板楼,0.5元/平米/月,街道办事处（委员会）代管物业,无开发商,1栋,18户,莱茵达路店/江苏省南京市江宁区成墟路238号,118.8605012,31.95144974
20191226,南京房产网,南京小区,栖霞小区,尧化门小区,尧辰景园,(栖霞尧化门)尧辰路尧辰景园,尧辰景园,5位用户已关注,暂无参考均价,2013年建成,塔板结合,0.5元/平米/月,南京栖霞建设集团物业有限公司,南京栖云置业顾问有限公司,13栋,2358户,暂无门店信息,118.887834,32.136901
20191226,南京房产网,南京小区,雨花台小区,雨花新村小区,雨花新村五村,(雨花台雨花新村)雨花台路66号,雨花新村五村,42位用户已关注,27334元/㎡11月参考均价,1983年建成,板楼/塔板结合,0.6元/平米/月,街道办事处（委员会）代管物业,南京市雨花台区房地产综合开发有限责任公司,15栋,618户,雨花新村店/共青团路四村13幢103室,118.77887,32.000575
