"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190906","000039","中集集团","10.16","-0.02","-0.20%","63837","65035925","1.38%","10.27","10.13","10.22","10.18","0.67","0.42","26.77","1.07","36400492382","15462693963","-18.83%","-5.13%"
"20190906","002796","世嘉科技","44.13","-0.09","-0.20%","141612","643586816","9.77%","47.80","43.48","45.45","44.22","2.40","11.41","61.45","5.06","7427327720","5477836071","25.37%","27.54%"
"20190906","000543","皖能电力","4.79","-0.01","-0.21%","73185","35033342","1.25%","4.82","4.76","4.82","4.80","0.54","0.41","15.39","0.84","10858275269","8575996695","3.46%","0.21%"
"20190906","300065","海兰信","14.59","-0.03","-0.21%","111562","162356855","2.33%","14.71","14.37","14.62","14.62","0.81","3.72","46.55","3.33","5809359231","4379412415","23.49%","41.15%"
"20190906","600857","宁波中百","9.46","-0.02","-0.21%","5080","4811257","1.05%","9.53","9.43","9.53","9.48","0.47","0.23","31.52","4.19","2122066442","2122066442","2.6%","13.29%"
"20190906","300702","天宇股份","43.00","-0.09","-0.21%","70589","302557792","3.57%","43.66","42.12","43.66","43.09","0.84","13.30","15.42","4.62","7836286632","2281456461","34.3%","104.6%"
"20190906","600390","五矿资本","9.43","-0.02","-0.21%","106713","100506662","2.22%","9.57","9.36","9.55","9.45","0.85","2.08","10.15","1.03","35347298871","4842661083","2.39%","36.47%"
"20190906","600886","国投电力","9.34","-0.02","-0.21%","228331","212923440","2.78%","9.46","9.20","9.41","9.36","0.69","0.34","13.92","1.95","63381459096","63381459816","18.23%","20.36%"
"20190906","601118","海南橡胶","4.75","-0.01","-0.21%","146362","69508835","1.47%","4.79","4.72","4.77","4.76","0.71","0.34","125.12","2.10","20327282036","20327282012","-10.04%","5.79%"
"20190906","600236","桂冠电力","4.73","-0.01","-0.21%","34352","16228034","0.84%","4.75","4.71","4.74","4.74","0.43","0.04","15.20","3.04","37283647154","37283646804","-21.82%","-13.53%"
"20190906","603703","盛洋科技","14.60","-0.03","-0.21%","14951","21934836","2.19%","14.87","14.55","14.63","14.63","0.99","1.37","822.36","7.64","3353620088","1590670042","23.62%","58.7%"
"20190906","300713","英可瑞","14.05","-0.03","-0.21%","30873","43166422","2.41%","14.15","13.81","14.13","14.08","0.50","4.81","207.99","2.79","2015296902","902343742","-1.13%","-33.41%"
"20190906","603239","浙江仙通","9.38","-0.02","-0.21%","18542","17368215","2.02%","9.49","9.30","9.43","9.40","1.00","2.04","27.99","2.69","2539353631","850953610","0.32%","-9.46%"
"20190906","300376","易事特","4.56","-0.01","-0.22%","66290","30262490","1.75%","4.61","4.53","4.57","4.57","0.66","0.29","19.74","2.09","10615161650","10526530628","-5.39%","9.62%"
"20190906","002829","星网宇达","22.55","-0.05","-0.22%","17477","39366368","1.77%","22.80","22.40","22.40","22.60","0.65","2.84","1034.60","4.15","3543173591","1386391114","6.1%","24.6%"
"20190906","600478","科力远","4.62","-0.01","-0.22%","200929","93062406","2.81%","4.70","4.57","4.67","4.63","1.19","1.37","-","2.80","7638159814","6789952330","-22.47%","18.3%"
"20190906","600449","宁夏建材","9.12","-0.02","-0.22%","62909","57177671","2.30%","9.21","9.00","9.21","9.14","0.94","1.32","7.99","0.86","4361011048","4361011030","9.88%","23.58%"
"20190906","300039","上海凯宝","4.50","-0.01","-0.22%","56591","25457282","1.77%","4.54","4.46","4.52","4.51","0.98","0.53","15.76","1.93","4821722100","4780538064","2.98%","12.25%"
"20190906","000560","我爱我家","4.56","-0.01","-0.22%","67664","30849248","1.53%","4.60","4.53","4.57","4.57","0.69","0.38","14.10","1.12","10741083746","8197741575","-5.39%","2.7%"
"20190906","601225","陕西煤业","9.16","-0.02","-0.22%","186069","170479113","1.31%","9.24","9.12","9.22","9.18","0.78","0.19","7.80","1.85","91599998474","91599998474","5.67%","24.86%"
"20190906","603023","威帝股份","4.57","-0.01","-0.22%","9457","4318222","1.97%","4.62","4.53","4.62","4.58","0.52","0.22","74.12","3.47","1974382548","1974382585","6.03%","-2.56%"
"20190906","600176","中国巨石","8.88","-0.02","-0.22%","304902","271780112","2.92%","9.06","8.80","8.95","8.90","1.26","0.87","14.76","2.14","31100485220","31100485211","-2.84%","-6.23%"
"20190906","002202","金风科技","13.57","-0.03","-0.22%","197835","268142046","2.35%","13.73","13.41","13.50","13.60","0.57","0.58","24.20","2.17","57334166680","45960868996","22.36%","40.48%"
"20190906","002838","道恩股份","13.39","-0.03","-0.22%","23089","30661311","2.31%","13.44","13.13","13.41","13.42","0.82","1.93","34.17","5.41","5398848138","1600316764","21.89%","-23.81%"
"20190906","000530","大冷股份","4.35","-0.01","-0.23%","86052","37441849","1.38%","4.38","4.32","4.36","4.36","0.72","1.44","16.92","1.09","3667974325","2600203673","0.23%","33.54%"
"20190906","600488","天药股份","4.30","-0.01","-0.23%","23391","10030027","1.16%","4.31","4.26","4.30","4.31","0.79","0.24","25.71","1.70","4695112932","4199288889","3.12%","14.36%"
"20190906","000526","紫光学大","26.25","-0.06","-0.23%","11280","29535498","3.23%","26.62","25.77","26.61","26.31","1.19","1.17","13.40","14.53","2525121559","2525121559","32.66%","43.11%"
"20190906","603712","七一二","26.08","-0.06","-0.23%","125248","328178288","2.75%","26.62","25.90","26.22","26.14","0.62","3.42","148.83","8.82","20133759941","9556671716","20.31%","43.36%"
"20190906","603661","恒林股份","35.11","-0.08","-0.23%","7674","26952555","1.96%","35.56","34.87","35.19","35.19","0.74","2.67","13.97","1.49","3511000061","1009412518","9.17%","19.42%"
"20190906","603138","海量数据","17.13","-0.04","-0.23%","39658","67695091","3.20%","17.40","16.85","17.30","17.17","0.84","5.92","95.39","8.21","3607746382","1147955931","-23.39%","-8.49%"
"20190906","600712","南宁百货","4.33","-0.01","-0.23%","68197","29492896","1.84%","4.36","4.28","4.33","4.34","1.07","1.27","1196.39","2.32","2358357667","2330751181","-17.37%","16.4%"
"20190906","002106","莱宝高科","8.48","-0.02","-0.24%","131603","111669715","2.35%","8.60","8.40","8.55","8.50","0.61","1.87","31.41","1.55","5985320714","5968786071","20.45%","34.18%"
"20190906","002435","长江润发","4.19","-0.01","-0.24%","43078","18042315","1.67%","4.23","4.16","4.23","4.20","0.76","0.95","15.25","0.95","5178768925","1898127546","-42.38%","-21.51%"
"20190906","002480","新筑股份","4.22","-0.01","-0.24%","43987","18590086","1.65%","4.26","4.19","4.26","4.23","0.70","0.69","-","1.21","2762973123","2700786227","-12.27%","-10.97%"
"20190906","002316","亚联发展","8.25","-0.02","-0.24%","139486","115513751","3.14%","8.42","8.16","8.33","8.27","0.59","4.75","43.20","3.56","3243240000","2420662596","2.74%","10.9%"
"20190906","300457","赢合科技","24.85","-0.06","-0.24%","36707","91084571","1.45%","24.98","24.62","24.90","24.91","1.06","1.46","25.04","2.99","9343686373","6263363250","-0.08%","-9.44%"
"20190906","002176","江特电机","4.24","-0.01","-0.24%","138858","58912576","2.35%","4.30","4.20","4.28","4.25","0.75","0.95","49.10","2.00","7234820073","6225616765","-14.34%","-28.14%"
"20190906","000931","中关村","8.42","-0.02","-0.24%","64976","54360601","1.78%","8.45","8.30","8.43","8.44","0.74","0.93","49.84","3.87","6341329246","5911602434","-2.34%","19.63%"
"20190906","600058","五矿发展","8.22","-0.02","-0.24%","36637","30132331","2.43%","8.34","8.14","8.23","8.24","0.63","0.34","48.10","2.15","8811106331","8811106273","-10.26%","27.84%"
"20190906","300464","星徽精密","8.29","-0.02","-0.24%","15438","12738916","1.44%","8.32","8.20","8.25","8.31","0.77","0.78","23.78","1.81","2636140677","1637700112","2.73%","6.01%"
"20190906","000514","渝开发","4.18","-0.01","-0.24%","57075","23918191","2.39%","4.25","4.15","4.23","4.19","0.82","0.68","100.26","1.17","3526962489","3526962468","-8.75%","13.62%"
"20190906","600090","同济堂","4.19","-0.01","-0.24%","133314","56056102","1.90%","4.24","4.16","4.21","4.20","0.92","0.93","11.14","0.95","6032187822","6032187818","-8.52%","-22.84%"
